ID,module_moduleID,student_userID
d4e5f6a7-4444-4000-8000-000000000001,b2c3d4e5-2222-4000-8000-000000000001,alice
d4e5f6a7-4444-4000-8000-000000000002,b2c3d4e5-2222-4000-8000-000000000002,alice
d4e5f6a7-4444-4000-8000-000000000003,b2c3d4e5-2222-4000-8000-000000000001,c3d4e5f6-3333-4000-8000-000000000002
d4e5f6a7-4444-4000-8000-000000000004,b2c3d4e5-2222-4000-8000-000000000003,c3d4e5f6-3333-4000-8000-000000000002
d4e5f6a7-4444-4000-8000-000000000005,b2c3d4e5-2222-4000-8000-000000000006,c3d4e5f6-3333-4000-8000-000000000003
d4e5f6a7-4444-4000-8000-000000000006,b2c3d4e5-2222-4000-8000-000000000007,c3d4e5f6-3333-4000-8000-000000000004
d4e5f6a7-4444-4000-8000-000000000007,b2c3d4e5-2222-4000-8000-000000000008,c3d4e5f6-3333-4000-8000-000000000005
d4e5f6a7-4444-4000-8000-000000000008,b2c3d4e5-2222-4000-8000-000000000009,c3d4e5f6-3333-4000-8000-000000000006
d4e5f6a7-4444-4000-8000-000000000009,b2c3d4e5-2222-4000-8000-000000000010,c3d4e5f6-3333-4000-8000-000000000007
d4e5f6a7-4444-4000-8000-000000000010,b2c3d4e5-2222-4000-8000-000000000010,c3d4e5f6-3333-4000-8000-000000000008
